text,label
"What s INEOS waiting for? Erik ten Hag got to go. Aren t Arsenal s title hopes up in smoke already?""""",no-hate
"@SkySportsPL The gift that keeps on giving Erik ten Hag """"",no-hate
"Angry Erik ten Hag criticises VAR and referees after Man United beaten by West Ham penalty https://t.co/L9jw19irqh""""",no-hate
" LIVE MAN UTD / WEST HAM PRESS CONFERENCES LIVE | Erik Ten Hag and Julen Lopetegui post-match press conferences | West Ham 2-1 Man Utd https://t.co/NWFPfwQElL https://t.co/x5XSBUAeIS""""",no-hate
"@Jamie54411401 @ReRe416842 @JohnMcMah0n Arteta has played under Moyes and Wenger. And been right hand man to Pep. The fact he's decided to be Moyes Mk2 is hilarious. Bottled 2 leagues and won 1 Cup in 5 years after spending millions Erik ten Hag has a better legacy than Arteta """"",no-hate
"@ManUtd It shall never be well with you you fool Erik Ten Hag""""",hate
" We were FAR better than the opponent injustice Erik ten Hag reacts to Manchester United's 2-1 defeat to West Ham https://t.co/3mfnpwYHIe | Pidom | Ibadan | Pastor Jerry Eze | Hausa | Seun Kuti | Northern Nigeria | Sabinus | Kano | TG Omori |Simon Ekpa | Mourinho |""""",no-hate
" The players wasted chances this isn't on Erik Ten Hag Well maybe if he didn't bin off footballs greatest ever goalscorer for two strikers who can't score then maybe we would score more goals Everything is on Erik Ten Hag #ETHOUT #MUFC""""",hate
"Two weeks ago after the scrappy win against Brentford I said it that if Man Utd was a serious club Erik ten Hag should be gone before Christmas. As a fresh secondary school leaver I started supporting Man Utd after the unprecedented treble feat in 1999. In my 25yrs of being a https://t.co/p77WWxFOdA""""",hate
"Investors will be monitoring any potential sudden shift on Utd s share price this week.Any dramatic drop in the price of Utd s shares on the New York Stock Exchange could be a strong signal that Erik Ten Hag has been sacked as manager.He is now hanging onto his job by a thread.""""",no-hate
"Pound for pound Erik Ten Hag is the worst coach in the league. His team gets outcoached and outclassed every damn time no matter the team. Damn Lopetegui got a win against Ten Hag. That's just terrible. Fvck all the missed chances in the first half it happens.""""",hate
"@UTDFondre W should sack Erik Ten Hag immediately.""""",hate
"Roma are going to sack their 2nd coach of the season after a stretch of poor results that has them in 11th place. But Manchester United who finished 8th last season and are currently in 14th place with a record of 3-2-4 are going to keep Erik Ten Hag. Small club.""""",hate
"@mufcMPB Manchester United should ve sacked Erik ten Hag 5 months ago let alone after today s defeat.""""",hate
"There is absolutely zero excuse and Ten Hag and @ManUtd need to take a leaf out of Forests book and grow a set of bollocks and call out the blatant bias that has been going on for the past few years. If they don't is another failure on Erik's part""""",no-hate
"@ESPNFC Erik ten Hag criticized the decision-making process that led to West Ham's late winner emphasizing the need for clarity and consistency in officiating... """"",no-hate
"Erik ten Hag in 2022: I admire them both Man City and Liverpool. But eras come to an end. """"",no-hate
"Saka is the type of player Erik Ten Hag needs in his team. Direct and purposeful""""",no-hate
