
text,label
"Erik ten Hag: We played so well. One team should have won today. The other team [West Ham] did not have any right to win this game. This is definitely not clear and obvious [from David Coote]. The VAR [Michael Oliver] should stay away from this. https://t.co/DLgfIEZIAH""""",no-hate
"Yes folks there was a time Manchester United got eelegated in the 1970s and it could happen again because the motherf**kers do not want to fire Erik Ten Hag! https://t.co/WrMTYrsTLO""""",hate
"@UTDFondre W should sack Erik Ten Hag immediately.""""",hate
"@MufcWonItAll2 I never want to see managers sacked Erik Ten Hag should be sacked for buying Antony alone Pick one mate because you re starting to sound like the usual agenda brigade who will back their opinion ove what s best for the club https://t.co/kPmC9TIifU""""",no-hate
"The more I think about it the more I realise Erik ten Hag is the perfect manager for the current Manchester United fanbase. He's a pure politician. He manipulates the masses into supporting his downright indefensible actions blinding their judgement. He should stay at #MUFC""""",no-hate
"We stand with Erik Ten Hag in these difficult times. #TenHagIn""""",no-hate
"Saka is the type of player Erik Ten Hag needs in his team. Direct and purposeful""""",no-hate
"@princeroy28 These are the consequences of rewarding mediocre performances. This manager should not have been retained after last season's showing. Erik ten Hag has significantly lowered the standards at this club. #MUFC""""",no-hate
" Erik Ten Hag's Man United have WON Just 3 of Their 14 Games This Season in All Competitions. â¬ï¸ Only ONE WIN in Their LAST 8 Games in All Competitions. Erik Ten Hag is a shit¸The First Manager in Man United's History to LOSE 14 Games in a Single PL Season Ever. https://t.co/5yolBVKHZT""""",hate
"@UtdFaithfuls @_Utdbaki Ten Hag s PR stans are going to share this compilation a zillion times this coming week in order to create a narrative that makes Ten Hag looks innocent. It s only a matter of time before he is gone. Congratulations on the 17M jackpot Erik.""""",no-hate
"When do you THINK Erik ten Hag gets the sack?""""",hate
"If I see one more Erik ten hag picture on my Tl I might start crying.""""",no-hate
"Angry Erik ten Hag criticises VAR and referees after Man United beaten by West Ham penalty https://t.co/L9jw19irqh""""",no-hate
"Erik ten hag needs to be banned from coaching. He's a crime against Manchester United.""""",hate
