text,label
" LIVE MAN UTD / WEST HAM PRESS CONFERENCES LIVE | Erik Ten Hag and Julen Lopetegui post-match press conferences | West Ham 2-1 Man Utd https://t.co/NWFPfwQElL https://t.co/x5XSBUAeIS""""",no-hate
"@views09 We are not sacking Erik Ten hag""""",no-hate
"Breaking Manchester United sacked Erik Ten hag #MUFC""""",no-hate
"@MufcWonItAll2 I never want to see managers sacked Erik Ten Hag should be sacked for buying Antony alone Pick one mate because you re starting to sound like the usual agenda brigade who will back their opinion ove what s best for the club https://t.co/kPmC9TIifU""""",no-hate
"Erik Ten Hag reacts to West Ham defeat https://t.co/cZStBZaiW3 via @YouTube @M53Irons""""",no-hate
"Angry Erik ten Hag criticises VAR and referees after Man United beaten by West Ham penalty https://t.co/L9jw19irqh""""",no-hate
"@fairlyodd_tweet I don't understand you this man. Only 3 players out of the xl are not his (Bruno Rashford Dalot) No way you want me to believe the 3 Erik ten hag favourite boys are the reason he can't win games consistently.""""",no-hate
"Last time we won at West Ham it was decided by two players deemed not good enough by Erik Ten Hag. Ronaldo and De Gea penalty save. https://t.co/4N1QeWuxkB""""",no-hate
"So it is Xavi. Ooh my Erik ten Hag is gone! Ooh Manchester United https://t.co/i3CT6HGsED""""",hate
"Erik Ten Hag is doing a commendable job at Manchester United! """"",no-hate
"Erik ten Hag angry with VAR for interfering as West Ham penalty wounds Man Utd https://t.co/R6kE8wB3iU""""",no-hate
"Erik Ten Hag Will Be SACKED - But When? West Ham 2-1 Manhcester United |... https://t.co/ODW1WiOwpv via @YouTube""""",hate
"@UtdFaithfuls @_Utdbaki Ten Hag s PR stans are going to share this compilation a zillion times this coming week in order to create a narrative that makes Ten Hag looks innocent. It s only a matter of time before he is gone. Congratulations on the 17M jackpot Erik.""""",no-hate
"Should Manchester United sack Erik ten Hag following today s defeat? YES/NO? https://t.co/PkMb45kpiP""""",no-hate
"@UTDAdi7 @FodenCTID It s October 2024 and you still back Erik ten hag adi.""""",no-hate
" When you only concede two goals away against Westham it shows that you are difficult to beat we will bounce back Erik Ten Hag""""",no-hate
"Erik ten Hag is one more defeat away from selling CBD oil on here with Aldo""""",hate
"@MerlinUnited Erik ten Hag asked for Harry Kane. He got two inexperienced youngsters instead. That's no criticism of the two youngsters but they are not ready to lead the line for title challenging side week in week out.""""",no-hate
"Erik ten Hag has struggled to implement a consistent tactical vision and his team's lack of cohesion and frequent defensive lapses raise serious concerns about his managerial effectiveness.""""",no-hate
"Erik Ten Hag was the only one to get the rightfully full supporting system from the board first ever.""""",no-hate
"There is absolutely zero excuse and Ten Hag and @ManUtd need to take a leaf out of Forests book and grow a set of bollocks and call out the blatant bias that has been going on for the past few years. If they don't is another failure on Erik's part""""",no-hate
"Erik Ten Hag please oooo If you get any small shame you go hand in resignation tonight""""",hate
"-Proper talent ID -Identical play style -Big trophy winner -Big game manager -Silky hair -AURA Sack Erik Ten Hag sign Xavi Hernandez. He is the truth. https://t.co/J5cnUqCwCd""""",hate
"We've gone: W-D-L in the first 3 games of this run My feelings are already clear and with FOUR home games in a row now if Erik Ten Hag can't win ALL these games then he can have no excuses and he should lose his job. 4 wins from 14 games is simply unacceptable. #MUFC #WHUMUN""""",hate
"@1_3Aadz When Dalot went past the keeper what do you think Erik ten Hag should have told him to do instead?""""",no-hate
"@NoodleHairCR7 Let it sink in that Erik ten hag is playing favoritism in football""""",no-hate
" Erik ten Hag for @BBCRMsport after the loss to West Ham! ï¸ https://t.co/eBlHEIJEsC""""",no-hate
"ï¸ Erik ten Hag: We feel an injustice there are so many things against us. We have to stick together and keep fighting. #MUFC https://t.co/jOGpJvJUHK""""",no-hate
"@JanAageFjortoft Lot of Britis in the comments section justifying the 20 second pen. Last week Norris only got a 5 second pen. Memory of a goldfish""""",no-hate
"Erik ten Hag Criticizes 'Unfair' VAR Call After Manchester United's Defeat Erik ten Hag expressing frustration after VAR call during the match against West Ham. https://t.co/yISktyXHlz""""",no-hate
"Erik ten Hag is not the man to lead Man Utd ï¸ @GARSIDEK #MUFC https://t.co/HEx9sFkNDn""""",hate
"@ManUtd checking @SkySportsNews every 10 minutes hoping to see Erik Ten Hag Sacked finally! Please please please @SirJimRatclife try anybody until end of the season as it's a write off again already. Even roy keane to scare them into shape and tell them how it is #TenHagMustGo""""",no-hate
"'You can't be 14th in the league after nine games': Gary Neville pinpoints when he thinks Erik ten Hag will be sacked with pressure becoming 'unbearable' after Man United lose again https://t.co/9iCO4DHOGA""""",hate
"You can Sack Erik Ten Hag look at this beautiful family he's the bread winner https://t.co/LrlEcNZT50""""",no-hate
"Repost in solidarity for Erik Ten Hag.. Manchester United trust the process. https://t.co/nc7tGoV5ts""""",no-hate
"I think it's time to stop please. Manchester United needs an overhaul and Erik Ten Hag needs to leave please.""""",hate
"@_C_PRIME Please give Erik Ten Hag a break he's under so much pressure right now. Real Madrid just had a bad game and will be back.""""",no-hate
"#ErikTenHag claims the best team did not win as he criticises VAR video https://t.co/K3nZLivOde""""",no-hate
"Again I asked what's the difference between Xavi and Erik Ten Hag? https://t.co/etTCwFpuYp""""",no-hate
" Mission Relegation directed by Erik Ten Hag . Produced by bunch of clowns . #TenHagOut""""",hate
"Man United's 2-1 defeat at West Ham increases the pressure on Erik ten Hag. Who might be getting a call to replace him in the coming days/weeks? Find the latest odds to be United's next manager #MUFC #ManUtd #TenHag https://t.co/trtQMvy5FO""""",no-hate
"If I see one more Erik ten hag picture on my Tl I might start crying.""""",no-hate
"@UTDAdi7 @FodenCTID It s October 2024 and you still back Erik ten hag adi.""""",no-hate
"Manchester United needs a reset again. But this time it cannot be in the form of a manager who promises one thing and delivers confusion. Erik Ten Hag has had more than enough time to show his worth and the results have been underwhelming at best and disastrous at worst.""""",hate
" WE'RE GOING LIVE! #MUFC DROP MORE POINTS! | Ten Hag Must Go! | VAR DISGRACE! | WEST HAM 2-1 MAN UNITED | Match Reaction Watch here: https://t.co/ZFsoqi8o0T â° Going live NOW! #WHUMNU #ManchesterUnited #ErikTenHag https://t.co/UgsdrxVVnE""""",hate
"@UTDAdi7 @FodenCTID It s October 2024 and you still back Erik ten hag adi.""""",no-hate
"@metalmarkie How is Erik Ten Hag right now""""",no-hate
" NEW YOUTUBE VIDEO 'At the moment the LUCK IS NOT ON MY SIDE!' | Erik Ten Hag | West Ham 2-1 Man Utd https://t.co/jgSBu5FtGX https://t.co/bAZigBNI7Q""""",no-hate
"Repost in solidarity for Erik Ten Hag.. Manchester United trust the process. https://t.co/nc7tGoV5ts""""",no-hate
"Erik Ten Hag is doing a great job at Manchester United. He s the perfect man for the job """"",no-hate
"Dear @ManUtd if #ErikTenHag were to get fired who would you like to replace him?""""",no-hate
