"conversation_id_str,""cre";ated;_at;""",""favori";te_cou;"nt"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";label
"1850688798302032235,""Sun";Oct;27;23:59:28;0;"2024"",""0"",""Erik Ten Hag reacts to West Ham defeat https://t.co/cZStBZaiW3 via @YouTube @M53Irons"",""1850688798302032235"","""","""",""en"",""Croydon"",""0"",""0"",""0"",""https://x.com/davidleeventers/status/1850688798302032235"",""82950019"",""davidleeventers""";no-hate
"1850687773650374729,""Sun";Oct;27;23:55:24;0;"2024"",""14"",""'You can't be 14th in the league after nine games': Gary Neville pinpoints when he thinks Erik ten Hag will be sacked with pressure becoming 'unbearable' after Man United lose again https://t.co/9iCO4DHOGA"",""1850687773650374729"","""","""",""en"","""",""0"",""3"",""1"",""https://x.com/MailSport/status/1850687773650374729"",""111556576"",""MailSport""";hate
"1850678762284720136,""Sun";Oct;27;23:54:49;0;"2024"",""0"",""@D_DeGea @acffiorentina For us Erik Ten Hag football is sickness #MUFC"",""1850687627730579840"","""",""D_DeGea"",""en"",""Kampala, Uganda"",""0"",""0"",""0"",""https://x.com/joshuaokurut1/status/1850687627730579840"",""739418898190209024"",""joshuaokurut1""";hate
"1850687058617962592,""Sun";Oct;27;23:52:33;0;"2024"",""0"",""Erik ten Hag: Manchester United boss feels West Ham defeat is 'unfair and unjust' https://t.co/8HMC4xw2D1 https://t.co/3TKVjhv7pU"",""1850687058617962592"",""https://pbs.twimg.com/media/Ga72EhgWYAA14Ce.jpg"","""",""en"",""Valencia, España."",""0"",""0"",""0"",""https://x.com/Aldana_EbX/status/1850687058617962592"",""1797974424173326336"",""Aldana_EbX""";no-hate
"1850686779491496271,""Sun";Oct;27;23:51:26;0;"2024"",""1"",""Erik Ten Hag was the only one to get the rightfully full supporting system from the board first ever."",""1850686779491496271"","""","""",""en"",""+62-31"",""0"",""1"",""0"",""https://x.com/RioAndrew/status/1850686779491496271"",""96655407"",""RioAndrew""";no-hate
"1850605506051633365,""Sun";Oct;27;23:47:42;0;"2024"",""0"",""@yefelekebay We already said that a referee caused us to lose the game. The MU PR discovered it. Erik Ten Hag said that to the press."",""1850685836020367528"","""",""yefelekebay"",""en"",""Washington, DC"",""0"",""0"",""0"",""https://x.com/EssayasNigatu/status/1850685836020367528"",""1287154400549572608"",""EssayasNigatu""";no-hate
"1850684916893422046,""Sun";Oct;27;23:44:02;0;"2024"",""0"",""Pound for pound Erik Ten Hag is the worst coach in the league. His team gets outcoached and outclassed every damn time no matter the team. Damn Lopetegui got a win against Ten Hag. That's just terrible. Fvck all the missed chances in the first half it happens."",""1850684916893422046"","""","""",""en"",""North Side"",""0"",""0"",""0"",""https://x.com/BigBem_/status/1850684916893422046"",""758645684644016128"",""BigBem_""";hate
"1850684579432346054,""Sun";Oct;27;23:42:42;0;"2024"",""0"",""Again I asked what's the difference between Xavi and Erik Ten Hag? https://t.co/etTCwFpuYp"",""1850684579432346054"",""https://pbs.twimg.com/media/Ga7z0MpWwAArVC2.jpg"","""",""en"",""Manila Philippines"",""0"",""0"",""0"",""https://x.com/DavidAondochir/status/1850684579432346054"",""906839136308514816"",""DavidAondochir""";no-hate
"1850683914479870043,""Sun";Oct;27;23:40:03;0;"2024"",""0"",""#ErikTenHag claims the best team did not win as he criticises VAR video https://t.co/K3nZLivOde"",""1850683914479870043"","""","""",""en"",""London"",""0"",""0"",""0"",""https://x.com/MercatoTrib_EN/status/1850683914479870043"",""1491820351260606465"",""MercatoTrib_EN""";no-hate
"1850682141845164220,""Sun";Oct;27;23:33:01;0;"2024"",""0"",""Just sack Erik ten hag @ManUtd Things won't turn around 18 months it's been pure shit It's November in 2 weeks and we are 14th Sack him while there's time to save this season @INEOSGrenadiers @INEOS #mufc @SkySportsPL @FabrizioRomano @OmarBerrada"",""1850682141845164220"","""","""",""en"","""",""0"",""0"",""0"",""https://x.com/rickihyde1989/status/1850682141845164220"",""1217980061749514241"",""rickihyde1989""";hate
